features.type,features.geometry,features.properties.NAME,features.properties.REFERENCE,features.properties.ASSETTYPE,features.properties.ASSETLOCATION,features.properties.CNTR_X,features.properties.CNTR_Y,lacd
"Feature","","Bacup road culvert no 5","0022/8","Complex Culvert","Clough Foot",390438.01,423834.996,"E08000033"
"Feature","","Carr road culvert no3","0819/5","Complex Culvert","Todmorden - Cornholme",390591.572,425628.577,"E08000033"
"Feature","","Carr road culvert no4","0286/12","Complex Culvert","Todmorden - Cornholme",390629.007,425574.983,"E08000033"
"Feature","","Middleglen farm culvert","0009/20","Complex Culvert","Clough Foot",390726.02,424010.986,"E08000033"
"Feature","","Clough foot culvert","0397/1","Complex Culvert","Clough Foot",391077.992,423691.975,"E08000033"
"Feature","","Burnley road culvert","0260/1","Complex Culvert","Todmorden - Cornholme",391174.981,426147.027,"E08000033"
"Feature","","Raw hey farm culvert","80585","Complex Culvert","Shore",391175.969,426910.055,"E08000033"
"Feature","","Mount lane farm culvert","80589","Complex Culvert","Shore",391219.002,427377.047,"E08000033"
"Feature","","Commons farm culvert","0380/23","Complex Culvert","Shore",391236.978,427185.978,"E08000033"
"Feature","","Shaw lane culvert no 4","0380/25","Complex Culvert","Shore",391239.961,427089.064,"E08000033"
"Feature","","Gorpley clough park culvert","0313/3","Complex Culvert","Clough Foot",391253.977,423138.026,"E08000033"
"Feature","","Commons farm culvert 2","0380/22","Complex Culvert","Shore - Gall Lane",391255.02,427204.969,"E08000033"
"Feature","","Bank top farm culvert 3","0380/16","Complex Culvert","Shore",391266.956,427521.039,"E08000033"
"Feature","","Shaw lane culvert no 4","0380/27","Complex Culvert","Shore",391281.023,427001.979,"E08000033"
"Feature","","Bank top farm culvert 2","0380/13","Complex Culvert","Shore",391302.953,427619.993,"E08000033"
"Feature","","Shaw lane culvert no 2","80599","Complex Culvert","Shore",391311.964,426899.004,"E08000033"
"Feature","","Bank top farm culvert","0380/11","Complex Culvert","Shore -  Mount Lane",391312.013,427669.042,"E08000033"
"Feature","","Shawlane culvert","0380/5","Complex Culvert","Shore",391313.002,426889.99,"E08000033"
"Feature","","Sourhall road culvert","0355/3","Complex Culvert","Brighouse - Hazel Greave Farm",391319.967,423930.954,"E08000033"
"Feature","","Shore fold farm culvert","0380/4","Complex Culvert","Shore",391340.07212471,426749.41789022,"E08000033"
"Feature","","Bearnshaw tower culvert no 3","Heald top farm","Complex Culvert","Todmorden - Heald Top Farm",388787.038,425434.981,"E08000033"
"Feature","","Bearnshaw park culvert no 2","0041/10","Complex Culvert","Todmorden - Bearnshaw Tower",389043.754,425729.328,"E08000033"
"Feature","","Limers gate culvert no 3","0739/13","Complex Culvert","Clough Foot",389220.783,423721.504,"E08000033"
"Feature","","Limers gate culvert no 2","0739/12","Complex Culvert","Clough Foot",389200.995,423727.669,"E08000033"
"Feature","","Limers gate culvert no 1","0739/8","Complex Culvert","Clough Foot",389371.999,423861.012,"E08000033"
"Feature","","Bearnshaw park culvert","80550","Complex Culvert","Todmorden - Bearnshaw Tower",389424.042,426095.06,"E08000033"
"Feature","","Bacup road Culvert","0645/9","Complex Culvert","Clough Foot",389642.967,423954.973,"E08000033"
"Feature","","Bearnshaw tower Asset no2","0187/6","Complex Culvert","Todmorden - Cornholme",389991.988,426019.032,"E08000033"
"Feature","","Bacup road Culvert no 2","0534/69","Complex Culvert","Clough Foot",389998.002,423677.93,"E08000033"
"Feature","","Bacup road culvert no 3","0534/35","Complex Culvert","Clough Foot",390174.964,423705.924,"E08000033"
"Feature","","The sportsman culvert","0661/18","Complex Culvert","Hawks Stones - Kebs Road",392892.956,427376.042,"E08000033"
"Feature","","Hole Bottom Road Culvert","0055/1","Complex Culvert","Todmorden - Ratcher House",393864.984,425316.98,"E08000033"
"Feature","","Jumble Hole Road Culvert","0571/1","Complex Culvert","Hebden Bridge",396687.983,426456.989,"E08000033"
"Feature","","Jumble hole culvert no2","0673/1","Complex Culvert","Hebden Bridge - Charlestown",396737.002,426371.95,"E08000033"
"Feature","","Jumble hole road culvert 3","0438/14","Complex Culvert","Hebden Bridge - Charlestown",396942.716,426301.379,"E08000033"
"Feature","","Hudson Mill Road Culvert","0637/5","Complex Culvert","Slack",397565.011,428178.967,"E08000033"
"Feature","","Eaves avenue river culvert","0191/42","Complex Culvert","Hebden Bridge",398237.984,427730.047,"E08000033"
"Feature","","Frieldhurst road culvert","0277/2","Complex Culvert","Todmorden - Frieldhurst Road",391407.007,426252.066,"E08000033"
"Feature","","Delf lane culvert","0726/7","Complex Culvert","Shore",391524.007,427246.078,"E08000033"
"Feature","","Bluebell farm culvert","0277/21","Complex Culvert","Shore",391560.86109824,426501.06506726,"E08000033"
"Feature","","Delf lane farm culvert","80627","Complex Culvert","Shore",391706.991,426922.976,"E08000033"
"Feature","","Kebbs road culvert no 3","0256/12","Complex Culvert","Hawks Stones",391720.965,427549.015,"E08000033"
"Feature","","Bluebell lane culvert","0277/15","Complex Culvert","Shore",391742.84,426717.747,"E08000033"
"Feature","","Sagar lane culvert","0277/44","Complex Culvert","Shore",391816.961,426816.971,"E08000033"
"Feature","","Hoyd road culvert","0354/4","Complex Culvert","Shore",391858.013,426679.046,"E08000033"
"Feature","","Sagar lane screen","0354/8","Complex Culvert","Shore",391893.959,426789.019,"E08000033"
"Feature","","Hoyd house culvert","0354/19","Complex Culvert","Shore - Bluebell Lane",391900.899,426645.704,"E08000033"
"Feature","","Sagar lane culvert no2","0277/40","Complex Culvert","Shore",391904.986,426985.041,"E08000033"
"Feature","","Sagar lane culvert no 3","0277/55","Complex Culvert","Hawks Stones",391989.971,427154.009,"E08000033"
"Feature","","Stony lane culvert","0354/13","Complex Culvert","Shore",392053.011,426951.071,"E08000033"
"Feature","","Stony lane culvert no 2","80644","Complex Culvert","Shore",392077.964,426885.051,"E08000033"
"Feature","","Stony lane culvert 3","80645","Complex Culvert","Shore",392092.009,426842.97,"E08000033"
"Feature","","Kebs road culvert 2","80657","Complex Culvert","Hawks Stones",392411.98,427116.02,"E08000033"
"Feature","","Eaves avenue culvert","0751/2","Complex Culvert","Hebden Bridge",398473.886,427543.152,"E08000033"
"Feature","","Lee mill road pipe","80732","Complex Culvert","Hebden Bridge",399139.69,428176.154,"E08000033"
"Feature","","Cragg Brook Culvert","0206/40","Complex Culvert","Cragg Vale",400525.027,423709,"E08000033"
"Feature","","Old Lane Scrap Yard Culvert","0608/21","Complex Culvert","Halifax",408362.978,426953,"E08000033"
"Feature","","Station Road Culvert","0608/64","Complex Culvert","Halifax",408364.979,428184.99,"E08000033"
"Feature","","Croft Farm Access Culvert","0781/21","Complex Culvert","Halifax",408362.108,429809.686,"E08000033"
"Feature","","Croft Farm Access Bridge","0781/22","Complex Culvert","Halifax",408375.736,429782.34,"E08000033"
"Feature","","Holdsworth Road Culvert","80764","Complex Culvert","Halifax",408419.036,428344.968,"E08000033"
"Feature","","Old Lane industrial unit Culvert","0608/15","Complex Culvert","Halifax",408427.033,426801.021,"E08000033"
"Feature","","Ovenden Road Culvert","0608/3","Complex Culvert","Halifax",408465.02,426509.031,"E08000033"
"Feature","","School Cote Brow Inlet Culvert","0779/12","Complex Culvert","Halifax",408480.987,428770.976,"E08000033"
"Feature","","Croft Farm Footbridge","0779/68","Complex Culvert","Halifax",408521.022,430009.018,"E08000033"
"Feature","","Copley Lane Road Culvert","0198/3","Complex Culvert","Halifax",408594.002,422506.059,"E08000033"
"Feature","","Wyke Beck Pipe","0897/9","Complex Culvert","Brighouse",414619.027,425687.019,"E08000033"
"Feature","","Wyke Beck Pipe 2","0897/12","Complex Culvert","Brighouse",414647.995,425793.03,"E08000033"
"Feature","","River Street Culvert","0669/1","Complex Culvert","Brighouse",415826.994,421906.068,"E08000033"
"Feature","","Bank top farm culvert no 2","0380/13","Complex Culvert","Shore",391302.953,427619.993,"E08000033"
"Feature","","Haigh Cote Dam","0164/52","Complex Culvert","Wainstalls",404481.001,429809.012,"E08000033"
"Feature","","White slack gate Culvert","0567/25","Complex Culvert","Todmorden - White Rose Farm",393527.489,420774.811,"E08000033"
"Feature","","Branch Road Culvert","0050/2","Complex Culvert","Stainland",406883.992,419349.027,"E08000033"
"Feature","","Bradshaw Lane Asset","0779/49","Complex Culvert","Halifax",408408.972,430600.959,"E08000033"
"Feature","","Mill lane culvert no 2","0503/78","Complex Culvert","Luddenden - Luddenden valley",404235.005,426848.977,"E08000033"
"Feature","","Dog lane Mill Culvert inlet","0250/1","Complex Culvert","Stainland - Dog Lane",406840.001,418922.961,"E08000033"
"Feature","","Winding Rise Culvert","0097/1","Complex Culvert","Brighouse",415037.024,425307.03,"E08000033"
"Feature","","Mill lane culvert","0503/105","Complex Culvert","Luddenden",404263.989,426668.986,"E08000033"
"Feature","","Strines Beck Culvert","80817","Complex Culvert","Halifax",408552.975,430462.028,"E08000033"
"Feature","","River Ryburn Culvert","0668/20","Complex Culvert","Sowerby Bridge",404911.995,422539.022,"E08000033"
"Feature","","Rochdale Road Culvert","0477/2","Complex Culvert","Sowerby Bridge",405194.981,422778.959,"E08000033"
"Feature","","Watkinson Road Inlet Culvert","0036/5","Complex Culvert","Halifax",408028.005,427905.03,"E08000033"
"Feature","","Roper Lane Culvert 2","0781/15","Complex Culvert","Halifax",408076.955,429948.939,"E08000033"
"Feature","","Roper Lane Culvert","0781/5","Complex Culvert","Halifax",408178.968,429891.034,"E08000033"
"Feature","","Royd Lane Culvert","0608/37","Complex Culvert","Halifax",408239.008,427272.99,"E08000033"
"Feature","","Royd Lane Bridge","0608/30","Complex Culvert","Halifax",408293.011,427169.055,"E08000033"
"Feature","","Castle Carr Road Culvert","0298/1","Complex Culvert","Wainstalls",402888.177,430108.43,"E08000033"
"Feature","","Branch Road Culvert","0061/132","Complex Culvert","Stainland",406801.009,420054.945,"E08000033"
"Feature","","Midgeley Road Culvert","0865/5","Complex Culvert","Mytholmroyd",401701.023,426336.979,"E08000033"
