type,features.type,features.geometry.type,features.geometry.coordinates.0,features.geometry.coordinates.1,features.properties.export_mpan_msid,features.properties.import_mpan_msid,features.properties.customer_name,features.properties.customer_site,features.properties.address_line_1,features.properties.address_line_2,features.properties.town_city,features.properties.county,features.properties.postcode,features.properties.country,features.properties.location_x_coordinate_eastings_where_data_is_held,features.properties.location_y_coordinate_northings_where_data_is_held,features.properties.grid_supply_point,features.properties.bulk_supply_point,features.properties.primary,features.properties.point_of_connection_poc_voltage_kv,features.properties.licence_area,features.properties.energy_source_1,features.properties.energy_conversion_technology_1,features.properties.chp_cogeneration_yes_no,features.properties.storage_capacity_1_mwh,features.properties.storage_duration_1_hours,features.properties.energy_source_energy_conversion_technology_1_registered_capacity_mw,features.properties.energy_source_2,features.properties.energy_conversion_technology_2,features.properties.chp_cogeneration_2_yes_no,features.properties.storage_capacity_2_mwh,features.properties.storage_duration_2_hours,features.properties.energy_source_energy_conversion_technology_2_registered_capacity_mw,features.properties.energy_source_3,features.properties.energy_conversion_technology_3,features.properties.chp_cogeneration_3_yes_no,features.properties.storage_capacity_3_mwh,features.properties.storage_duration_3_hours,features.properties.energy_source_energy_conversion_technology_3_registered_capacity_mw,features.properties.flexible_connection_yes_no,features.properties.connection_status,features.properties.already_connected_registered_capacity_mw,features.properties.maximum_export_capacity_mw,features.properties.maximum_export_capacity_mva,features.properties.maximum_import_capacity_mw,features.properties.maximum_import_capacity_mva,features.properties.date_connected,features.properties.accepted_to_connect_registered_capacity_mw,features.properties.change_to_maximum_export_capacity_mw,features.properties.change_to_maximum_export_capacity_mva,features.properties.change_to_maximum_import_capacity_mw,features.properties.change_to_maximum_import_capacity_mva,features.properties.date_accepted,features.properties.target_energisation_date,features.properties.distribution_service_provider_y_n,features.properties.transmission_service_provider_y_n,features.properties.reference,features.properties.in_a_connection_queue_y_n,features.properties.distribution_reinforcement_reference,features.properties.transmission_reinforcement_reference,features.properties.last_updated
"FeatureCollection","Feature","Point",-0.15611687744343655,53.557410757548638,"Data Not Available","Data Not Available","Grimsby Solar Farm","Grimsby Solar Farm","Aylesbury Road","Aylesbury CP","Grimsby","Lincolnshire","DN37 9NU","England",522239,408335,"Grimsby West","Grimsby Solar Farm","Grimsby Solar Farm Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",49.9,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",49.9,49.9,52.526,"","","2020-01-15 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.39768634398763281,53.80568425464044,"Data Not Available","Data Not Available","Low Farm Solar","Low Farm Solar","Low Farm","Dunswell Lane","Cottingham","East Yorkshire","HU16 4JP","England",505616,435567,"Creyke Beck","Beverley 132/33kV","Low Farm Solar",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",25,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",25,25,26.316,"","","2021-02-15 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.4467182629532726,53.777456753276873,"Data Not Available","Data Not Available","Castle Hill Hospital","Castle Hill Hospital","Castle Hill Hospital","Castle Road","Cottingham","East Yorkshire","HU16 5JQ","England",502456,432355,"Creyke Beck","Hull South","County Road North",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",4,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",4,4,4.211,"","","2021-07-08 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.35256466366024325,53.86809496447632,"Data Not Available","Data Not Available","IDNO Routh40","IDNO Routh40","Routh","Routh","Beverley","East Yorkshire","HU17 9SL","England",508426,442578,"Creyke Beck","Routh","Routh Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",40,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",40,40,42.105,"","","2020-12-23 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.35847813204392942,53.819599415861411,"Data Not Available","Data Not Available","Kenley House Generation Hub","Kenley House Generation Hub","Kenley House Farm","Ferry Road","Hull","East Yorkshire","HU7 5XY","England",508162,437174,"Creyke Beck","Kenley House Generation Hub","Kenley House Generation Hub Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",150,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",150,150,157.895,"","","2022-05-19 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.0100508507658656,53.79862982347759,"Data Not Available","Data Not Available","Osgodby Grange Farm","Osgodby Grange Farm","Osgodby Grange Farm","Osgodby","Osgodby","North Yorkshire","YO8 5HR","England",465302,434046,"Drax","Osgodby 1/2","Osgodby Grange Farm",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",41.04,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",41.04,41.04,43.2,"","","2021-08-31 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.5490886520806408,53.570078797390352,"Data Not Available","Data Not Available","Barugh Green PV","Barugh Green PV","Lane head Road","Barugh Green","Cawthorne","South Yorkshire","S75 4DR","England",429959,408258,"West Melton Section 3","Barugh 132/66kV","Barugh Green PV",66,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",40,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",40,40,42.105,"","","2022-06-01 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.2661418911304263,53.404878316840417,"Data Not Available","Data Not Available","Common Solar Farm","Common Solar Farm","Common Farm","Dinnington","Sheffield","South Yorkshire","S25 1ZX","England",448886,390035,"Thurcroft","Thurcroft","Common Solar Farm",66,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",49.9,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",49.9,49.9,52.526,"","","2021-11-12 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.0730963042630409,53.537744672451957,"Data Not Available","Data Not Available","Weelsby Farm","Weelsby Farm","Low Farm & Weelsby Farm","Louth Road","New Waltham","NORTH LINCOLNSHIRE","DN36 4SB","England",527797,406293,"Grimsby West","Weelsby Farm","Weelsby Farm Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",65,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",65,40,42.105,"","","2022-08-23 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.15118080059824282,53.5660455573862,"Data Not Available","Data Not Available","Brocklesby","Brocklesby","Land off Kings Road","Stallingborough","Grimsby","Lincolnshire","DN40 1QZ","England",522541,409304,"Grimsby West","Brocklesby","Brocklesby Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",80,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",80,80,84.211,"","","2022-05-10 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.0297158011078822,53.749785861167254,"Data Not Available","Data Not Available","Barlow Solar","Barlow Solar","Land at Cleek Hall","Barlow Lane End Farm","Selby","North Yorkshire","YO8 8EX","England",464081,428594,"Drax","Barlow Solar","Barlow Solar Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",49.99,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",49.99,49.99,52.621,"","","2022-10-07 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.5469023086736819,53.610760807504121,"Data Not Available","Data Not Available","Woolley Solar Park","Woolley Solar Park","Haigh Lane","Haigh","Barnsley","South Yorkshire","S75 4DA","England",430075,412785,"West Melton Section 3","Barugh 132/66kV","Woolley Solar Park",66,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",29.93,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",29.93,29.93,31.505,"","","2022-10-05 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.85903738762347215,53.780363094344487,"Data Not Available","Data Not Available","Spaldington Airfield Solar","Spaldington Airfield Solar","Spaldington Airfield Wind Farm","Wood Lane","Brind","East Yorkshire","DN14 7NG","England",475281,432163,"Drax","Osgodby 3/4","Spaldington Airfield Windfarm",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",30,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",30,30,31.579,"","","2022-12-28 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.7533549770781702,53.874803989285461,"Data Not Available","Data Not Available","Solar Farm at Land at Menston","Solar Farm at Land at Menston","Land at Menston","Menston","Menston","West Yorkshire","LS20 8NZ","England",416314,442095,"Bradford West","Menston","Menston PV",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",45,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",45,45,47.368,"","","2023-01-27 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.5625860079217611,53.917977913648357,"Data Not Available","Data Not Available","Juniper Farm","Juniper Farm","Juniper farm","Weeton Lane","Leeds","West Yorkshire","LS17 0AY","England",428827,446959,"Bradford West","Menston","Juniper Farm",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",27.73,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",27.73,24.5,25.789,"","","2023-05-18 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-0.053671642189299811,53.437066401495251,"Data Not Available","Data Not Available","Ludborough Solar Farm","Ludborough Solar Farm","Lincoln Gate","Lincoln Gate","Ludborough","Lincolnshire","DN36 5SG","England",529390,395129,"Keadby","Ludborough Solar Farm","Ludborough Solar Farm Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",98,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",98,98,103.158,"","","2022-05-09 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-1.72726623735554,53.774774689801724,"Data Not Available","Data Not Available","Princes Bradford PV","Princes Bradford PV","Weaverthorpe road","Bradford","Bradford","West Yorkshire","BD4 6SX","England",418072,430972,"Skelton Grange","Staygate","Dudley Hill",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",4.085,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",4.085,4.085,4.3,"","","2023-06-06 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-0.38951610686023597,53.973109915484237,"Data Not Available","Data Not Available","Chuch Farm Solar Energy Centre","Chuch Farm Solar Energy Centre","Church Farm","Skerne","Driffield","East Yorkshire","YO25 9HU","England",505731,454205,"Creyke Beck","Driffield/Beverley Group","Church Farm",66,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",69.9,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",69.9,69.9,73.579,"","","2022-06-17 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-0.41723470910000743,53.999275868240751,"Data Not Available","Data Not Available","Sunderlandwick PV Farm","Sunderlandwick PV Farm","Sunderlandwick Solar PV Farm","Sunderlandwick","Driffield","East Yorkshire","YO259AD","England",503848,457075,"Creyke Beck","Driffield/Beverley Group","Sunderlandwick PV Farm",66,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",35,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",35,35,36.842,"","","2020-12-08 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-1.4313339397900264,53.680601320140369,"Data Not Available","Data Not Available","Crossley Street Solar","Crossley Street Solar","Crossley Street","A655","Wakefield","West Yorkshire","WF1 5TR","England",437659,420610,"Ferrybridge B","Featherstone","Crossley Street Solar",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",21.91,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",21.91,17.2,18.105,"","","2023-08-03 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-0.23770754921870793,53.761226569044737,"Data Not Available","Data Not Available","Trinity House Solar","Trinity House Solar","Trinity House Solar Project","Land On The North Side Of Longsight Farm","Hull","East Yorkshire","HU12 8TP","England",516273,430871,"Saltend North","Trinity House Solar","Trinity House Solar Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",49.9,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",49.9,49.9,52.526,"","","2023-08-04 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-1.3586220857104649,53.818751287426942,"Data Not Available","Data Not Available","Parlington Hall","Parlington Hall","Parlington Hall","Parlington Estate","Leeds","West Yorkshire","LS25 3EG","England",442323,436021,"Ferrybridge B","Whinmoor","Parlington Hall",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",50,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",50,25,26.316,"","","2023-08-03 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-1.5094766267312278,53.779052385328491,"Data Not Available","Data Not Available","Knostrop Treatment PV","Knostrop Treatment PV","Knostrop Treatment Works","Knowsthorpe Lane","Leeds","West Yorkshire","LS9 0PJ","England",432422,431525,"Skelton Grange","Leeds East","Knostrop",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",11.5,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",11.5,0.99,1.042,"","","2023-07-17 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-1.541819623135176,53.764664513472859,"Data Not Available","Data Not Available","John Charles Stadium PV","John Charles Stadium PV","John Charles Stadium","Belle Isle","Leeds","West Yorkshire","LS11 5DJ","England",430301,429910,"Kirkstall B","Beeston Royds 132/33kV","Middleton Town Street",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",1.4,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1.4,0.625,0.658,"","","2023-07-20 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-1.1265919526713659,53.502825022098719,"Data Not Available","Data Not Available","J3 Business Park C2 PV","J3 Business Park C2 PV","Case 2, J3 Business Park","Balby Carr Bank","Doncaster","South Yorkshire","DN4 8DE","England",458030,401036,"West Melton / Thorpe Marsh","Doncaster B/Thorpe Marsh","Balby",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",1.1,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1.1,0.44,0.463,"","","2023-07-20 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-1.1265919526713659,53.502825022098719,"Data Not Available","Data Not Available","J3 Business Park C1 PV","J3 Business Park C1 PV","Case 1, J3 Business Park","Balby Carr Bank","Doncaster","South Yorkshire","DN4 8DE","England",458030,401036,"West Melton / Thorpe Marsh","Doncaster B/Thorpe Marsh","Balby",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",1.1,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1.1,0.453,0.477,"","","2023-07-20 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-1.2215756465288496,53.791991626150221,"Data Not Available","Data Not Available","Cranswick Sherburn PV","Cranswick Sherburn PV","Cranswick Sherburn - Main Building","Seafox Court","Sherburn In Elmet","West Yorkshire","LS25 6PL","England",451378,433134,"Ferrybridge B","Bramham","Sherburn",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",2.3,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",2.3,0.55,0.579,"","","2022-11-11 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-0.053671642189299811,53.437066401495251,"Data Not Available","Data Not Available","Ludborough 2 PV","Ludborough 2 PV","Ludborough 2","Barton Street","Ludborough","Lincolnshire","DN36 5SG","England",529390,395129,"Grimsby West","Ludborough 2 PV","Ludborough 2 PV Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",180,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",180,180,189.474,"","","2023-09-28 00:00:00","","","","","","","",2023-12-06 00:00:00.000
"FeatureCollection","Feature","Point",-1.1853140924791048,54.457392373409192,"Data Not Available","Data Not Available","Quorn Foods","Quorn Foods","Quorn Foods Station Road","Stokesley","Middlesbrough","North Yorkshire","TS9 7AB","England",452914,507195,"Norton","Bowesfield","Stokesley",11,"Northern Powergrid (Northeast) plc","Fossil - Gas","Engine (combustion / reciprocating)","Yes","","",2,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",2,0,0,"","","2016-11-10 10:49:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.4831207271932541,54.397821044029229,"Data Not Available","Data Not Available","Network Rail Hutton Bonville","Network Rail Hutton Bonville","Network Rail","Hutton Bonville","Northallerton","North Yorkshire","DL7 0NS","England",433656,500384,"Norton","Hutton Bonville Rail","Hutton Bonville Rail Direct",132,"Northern Powergrid (Northeast) plc","Fossil - Gas","Engine (combustion / reciprocating)","No","","",2,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",2,2,2.105,"","","2017-05-02 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-0.61732330453416628,54.440940618375606,"Data Not Available","Data Not Available","York Potash - Sirius","York Potash - Sirius","Woodsmiths Site","Sneaton","Whitby","North Yorkshire","YO22 5HZ","England",489771,505939,"Osbaldwick","Malton Grid","Whitby T2",11,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",23,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",23,4,4.211,"","","2019-02-21 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.0449382186723675,53.949636110941235,"Data Not Available","Data Not Available","York University 10MVA Demand 2MW CHP","York University 10MVA Demand 2MW CHP","Heslington East Campus","Innovation Close","Heslington","North Yorkshire","YO10 5ZF","England",462778,450815,"Osbaldwick","Melrosegate","York University",11,"Northern Powergrid (Northeast) plc","Fossil - Gas","Steam turbine (thermal power plant)","Yes","","",2,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",2,2,2.105,"","","2020-03-11 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.2604066573449566,54.58980584542838,"Data Not Available","Data Not Available","New Road WEP","New Road WEP","CF Fertiliser Industrial Complex","New Road","Billingham","County Durham","TS23 1XT","England",447891,521875,"Norton","North Tees","New Road WEP",66,"Northern Powergrid (Northeast) plc","Waste","Steam turbine (thermal power plant)","No","","",25,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",25,25,26.316,"","","2020-07-06 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.3803372174278308,54.586848221561283,"Data Not Available","Data Not Available","California Hybrid Solar & BESS","California Hybrid Solar & BESS","CALIFORNIA FARM","Carlton","Stockton-On-Tees","County Durham","TS21 1ED","England",440144,521471,"Norton","California Farm","California Farm Direct",132,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",150,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",150,99.99,105.253,"","","2020-04-29 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5226096455733258,54.074913672980742,"Data Not Available","Data Not Available","South West of Station Lane","South West of Station Lane","South West of Station Lane","Burton Leonard","Harrogate","North Yorkshire","HG3 3R","England",431335,464437,"Knaresborough","Wormald Green 132/11kV","Wormald Green 132/11kV Direct",11,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",6,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",6,6,6.316,"","","2020-07-30 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5845677131022038,54.965722907433843,"Data Not Available","Data Not Available","Park Lane EV Charger","Park Lane EV Charger","Stadium Former Petrol Station","Park Road","Gateshead","Tyne and Wear","NE10 0EA","England",426696,563534,"West Boldon","West Boldon","Gateshead East",11,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",6,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",6,6,6.316,"","","2021-05-20 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5782769895310638,55.200751059509656,"Data Not Available","Data Not Available","Ellington Landfill","Ellington Landfill","Ellington Landfill","Ellington Road","Ashington","Northumberland","NE63 9XS","England",426941,589691,"Blyth 66kV","Blyth 66kV","Ashington",11,"Northern Powergrid (Northeast) plc","Biofuel - Landfill gas","Engine (combustion / reciprocating)","No","","",1,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1,1,1.053,"","","2022-05-06 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.3170017063596497,54.639611381685825,"Data Not Available","Data Not Available","Wynyard Park BESS","Wynyard Park BESS","Wynyard Park","Wynyard","Stockton-On-Tees","County Durham","TS22 5FJ","England",444180,527380,"Hartmoor","Hartmoor","Wynyard",66,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",19,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",19,19,20,"","","2022-03-11 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.7321293976446095,54.978475202669053,"Data Not Available","Data Not Available","Keats Road BESS","Keats Road BESS","Off Lemington Road","Newburn","Newcastle Upon Tyne","Tyne and Wear","NE15 9RT","England",417243,564907,"Stella North","Keats Road BESS","Keats Road BESS Direct",132,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",50,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",50,49.9,52.526,"","","2022-04-26 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.6076012894401563,54.800854003444492,"Data Not Available","Data Not Available","Potter House Hybrid","Potter House Hybrid","Potter House","Lanchester Road","Durham","County Durham","DH1 5RD","England",425324,545179,"Spennymoor GSP","Potter House","Potter House Hybrid",66,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",75.6,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",75.6,75.6,79.579,"","","2022-06-06 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5616447668758109,54.697773113438906,"Data Not Available","Data Not Available","Redhall Farm BESS","Redhall Farm BESS","Land at Redhal BESS","A167","Ferryhill","County Durham","DL17 8RT","England",428350,533726,"Spennymoor GSP","Redhall Farm BESS","Redhall Farm BESS Direct",132,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",63,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",63,55.1,58,"","","2022-08-24 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.6310093155599321,55.097951309284966,"Data Not Available","Data Not Available","Cramlington Farm BESS","Cramlington Farm BESS","Cramlington","Industrial Estate","Bassington","Northumberland","NE23 8AF","England",423645,578232,"Blyth 66kV","Blyth 66kV","Cramlington Farm BESS",66,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",49.9,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",49.9,22,23.158,"","","2022-10-14 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.1540391100337852,53.994746531105839,"Data Not Available","Data Not Available","Overton Grange Hybrid","Overton Grange Hybrid","Overton Grange","Overton Road","Hambleton","North Yorkshire","YO30 1YL","England",455558,455743,"Poppleton","Poppleton","Overton Grange",33,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",90.97,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",90.97,53.7,56.526,"","","2022-06-07 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.3817309889226645,54.805243092868224,"Data Not Available","Data Not Available","Hawthorn Pit Hybrid","Hawthorn Pit Hybrid","Litte Coop House Farm","Hawthorn","Seaham","County Durham","SR7 8SA","England",439840,545772,"Hawthorn Pit Grid","Hawthorn Pit Grid","Hawthorn Pit Hybrid",66,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",72.62,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",72.62,40,42.105,"","","2022-11-17 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5599904034205636,54.889252534903015,"Data Not Available","Data Not Available","Washington Services","Washington Services","Washington Southbound Service Area A1(M) Northbound J64","Portobellow Way","Birtley","County Durham","DH3 2SJ","England",428323,555034,"Stella South","Ravensworth","Birtley Grove 66/20kV",20,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",2.85,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",2.85,2.85,3,"","","2022-11-09 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.263534448522031,54.599144430273341,"Data Not Available","Data Not Available","Belasis Avenue BESS","Belasis Avenue BESS","Land South side of Belasis Avenue","Belasis Avenue","Billingham","County Durham","TS23 1LQ","England",447678,522912,"Saltholme","Belasis Avenue BESS","Belasis Avenue BESS Direct",132,"Northern Powergrid (Northeast) plc","Stored Energy (all stored energy irrespectve of the original energy source)","Storage - Electrochemical  (Batteries)","No","","",100.92,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",100.92,75.5,79.474,"","","2022-11-16 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.1822406681704571,54.6076098012953,"Data Not Available","Data Not Available","Seal Organics 8.598MW CHP (Non-Exporting)","Seal Organics 8.598MW CHP (Non-Exporting)","FINE ORGANICS LTD","Seal Sands","Middlesbrough","North Yorkshire","TS2 1UB","England",452919,523912,"Saltholme","Seal Sands","Tees Industrial T1 T2",11,"Northern Powergrid (Northeast) plc","Biofuel - Other","Engine (combustion / reciprocating)","Yes","","",8.598,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",8.598,0,0,"","","2023-01-26 00:00:00","","","","","","","",2023-11-14 00:00:00.000
